Year,Total,Full-Time,Part-Time,Male,Female,Full-Time Male,Part-Time Male,Full-Time Female,Part-Time Female,Public,Total Private,Nonprofit,For-profit
1970,7368644,5280064,2088580,4249702,3118942,3096371,1153331,2183693,935249,5620255,1748389,1730133,18256
1975,9679455,6168396,3511059,5257005,4422450,3459328,1797677,2709068,1713382,7826032,1853423,1814844,38579
1980,10475055,6361744,4113311,5000177,5474878,3226857,1773320,3134887,2339991,8441955,2033100,1926703,106397
1985,10596674,6319592,4277082,4962080,5634594,3156446,1805634,3163146,2471448,8477125,2119549,1928996,190553
1986,10797975,6352073,4445902,5017505,5780470,3146330,1871175,3205743,2574727,8660716,2137259,1928294,208965
1987,11046235,6462549,4583686,5068457,5977778,3163676,1904781,3298873,2678905,8918589,2127646,1939942,187704
1988,11316548,6642428,4674120,5137644,6178904,3206442,1931202,3435986,2742918,9103146,2213402,---,---
1989,11742531,6840696,4901835,5310990,6431541,3278647,2032343,3562049,2869492,9487742,2254789,---,---
1990,11959106,6976030,4983076,5379759,6579347,3336535,2043224,3639495,2939852,9709596,2249510,2043407,206103
1991,12439287,7221412,5217875,5571003,6868284,3435526,2135477,3785886,3082398,10147957,2291330,2072354,218976
1992,12537700,7244442,5293258,5582936,6954764,3424739,2158197,3819703,3135061,10216297,2321403,2101721,219682
1993,12323959,7179482,5144477,5483682,6840277,3381997,2101685,3797485,3042792,10011787,2312172,2099197,212975
1994,12262608,7168706,5093902,5422113,6840495,3341591,2080522,3827115,3013380,9945128,2317480,2100465,217015
1995,12231719,7145268,5086451,5401130,6830589,3296610,2104520,3848658,2981931,9903626,2328093,2104693,223400
1996,12326948,7298839,5028109,5420672,6906276,3339108,2081564,3959731,2946545,9935283,2391665,2112318,279347
1997,12450587,7418598,5031989,5468532,6982055,3379597,2088935,4039001,2943054,10007479,2443108,2139824,303284
1998,12436937,7538711,4898226,5446133,6990804,3428161,2017972,4110550,2880254,9950212,2486725,2152655,334070
1999,12739445,7753548,4985897,5584234,7155211,3524586,2059648,4228962,2926249,10174228,2565217,2185290,379927
2000,13155393,7922926,5232467,5778268,7377125,3588246,2190022,4334680,3042445,10539322,2616071,2213180,402891
2001,13715610,8327640,5387970,6004431,7711179,3768630,2235801,4559010,3152169,10985871,2729739,2257718,472021
2002,14257077,8734252,5522825,6192390,8064687,3934168,2258222,4800084,3264603,11432855,2824222,2306091,518131
2003,14480364,9045253,5435111,6227372,8252992,4048682,2178690,4996571,3256421,11523103,2957261,2346673,610588
2004,14780630,9284336,5496294,6340048,8440582,4140628,2199420,5143708,3296874,11650580,3130050,2389366,740684