costRank,State,costIndex,groceryCost,housingCost,utilitiesCost,transportationCost,miscCost,lat,lng,postal_code
41,Alabama,89.3,97.4,71.5,103.3,88.6,90.8,33.2588817,-86.8295337,AL
7,Alaska,129.9,134.2,133.9,154.2,130.8,150.9,64.4459613,-149.680909,AK
28,Arizona,97,96.9,91.7,107.4,109.6,94.7,34.395342,-111.7632755,AZ
50,Arkansas,86.9,92,73.9,91.8,83.6,85.6,35.2048883,-92.4479108,AR
3,California,151.7,121.4,227.3,117.7,138.9,114.5,36.7014631,-118.7559974,CA
19,Colorado,105.6,102.5,119,88.4,101.2,102.9,38.7251776,-105.6077167,CO
9,Connecticut,127.7,114.2,144.7,128.1,111.8,113.7,41.6500201,-72.7342163,CT
17,Delaware,108.1,113.4,98.2,96.5,107,101.6,38.6920451,-75.4013315,DE
26,Florida,97.9,104,95.4,102.2,96.7,96.9,27.7567667,-81.4639835,FL
43,Georgia,89.2,96.9,73.8,92.4,97.6,98.5,32.3293809,-83.1137366,GA
1,Hawaii,192.9,169.3,318.6,172.7,148.6,116.8,21.2160437,-157.975203,HI
33,Idaho,92.3,92.2,87.1,82.9,106.7,97.3,43.6447642,-114.0154071,ID
31,Illinois,94.5,94.2,87.2,100.9,100.9,99,40.0796606,-89.4337288,IL
40,Indiana,90,93.3,77.3,97,93.1,94.3,40.3270127,-86.1746933,IN
39,Iowa,90.1,95.9,79.6,95.3,95.5,97.8,41.9216734,-93.3122705,IA
44,Kansas,89,91.9,73.8,103,92.3,98.9,38.27312,-98.5821872,KS
36,Kentucky,90.9,89.9,77.4,97.6,92.8,89.2,37.5726028,-85.1551411,KY
32,Louisiana,93.9,99.9,86.6,89.3,98.5,98.8,30.8703881,-92.007126,LA
12,Maine,117.5,107,123.1,116.1,121.4,121.8,45.709097,-68.8590201,ME
8,Maryland,129.7,108.5,184.5,107.3,116.7,89.2,39.5162234,-76.9382069,MD
6,Massachusetts,131.6,113.9,170.3,109.7,116,117.6,42.3788774,-72.032366,MA
45,Michigan,88.9,89.3,75.2,97.3,97.4,93,43.6211955,-84.6824346,MI
21,Minnesota,101.6,106.7,88.3,96.8,103.7,108.6,45.9896587,-94.6113288,MN
51,Mississippi,86.1,91.6,70.1,89.1,89.2,91.4,32.9715645,-89.7348497,MS
48,Missouri,87.1,96.6,70.6,99.6,87.3,95.7,38.7604815,-92.5617875,MO
18,Montana,106.9,105.1,111.6,83.9,125,98.4,47.3752671,-109.6387579,MT
38,Nebraska,90.8,95.5,80.9,90.8,94.3,99.9,41.7370229,-99.5873816,NE
16,Nevada,108.5,108.3,121.8,89,123.5,105.7,39.5158825,-116.8537227,NV
15,New Hampshire,109.7,100.4,110.3,119.5,111.4,116.1,43.4849133,-71.6553992,NH
10,New Jersey,125.1,109.5,163.1,101.6,111.1,101.7,40.0757384,-74.4041622,NJ
47,New Mexico,87.5,100.9,77.7,87.9,91.6,100.1,34.5708167,-105.993007,NM
4,New York,139.1,114.8,204.4,108.7,116.6,104.8,42.6588992,-80.2590355,NY
30,North Carolina,94.9,96.6,83.1,97.9,93.4,110.6,35.6729639,-79.0392919,NC
24,North Dakota,98.8,108.1,90.3,93.6,104.3,111.7,47.6201461,-100.540737,ND
37,Ohio,90.8,98.7,73.6,91.8,96.7,97.6,40.2253569,-82.6881395,OH
49,Oklahoma,87,95.4,71.9,94.1,89.5,93.2,34.9550817,-97.2684063,OK
5,Oregon,134.2,110.3,181.8,88,136.7,113.2,43.9792797,-120.737257,OR
20,Pennsylvania,101.7,106.9,100.8,106,109.5,91.9,40.9699889,-77.7278831,PA
11,Rhode Island,119.4,106.2,129.4,123.5,124,109.3,41.7962409,-71.5992372,RI
29,South Carolina,95.9,101.9,85.1,107.6,88,94.2,33.6874388,-80.4363743,SC
23,South Dakota,99.8,107,109.8,91.8,89.8,103,44.6471761,-100.348761,SD
46,Tennessee,88.7,93.3,80.2,93.4,89.7,88.5,35.7730076,-86.2820081,TN
34,Texas,91.5,88.9,85.3,102.3,91.4,96.2,31.8160381,-99.5120986,TX
25,Utah,98.4,98.5,93.6,89.4,108.6,96,39.4225192,-111.7143584,UT
13,Vermont,114.5,111.3,126.7,120.2,119.9,101.2,44.5990718,-72.5002608,VT
22,Virginia,100.7,96.1,108,99.2,88.1,97.2,37.1232245,-78.4927721,VA
14,Washington,110.7,107.8,117.8,88.7,121.7,118.9,47.2868352,-120.2126139,WA
35,West Virginia,91.1,92.9,79.6,89,93.5,89.1,38.4758406,-80.8408415,WV
27,Wisconsin,97.3,100.7,91.4,98.9,98.1,115.2,44.4308975,-89.6884637,WI
42,Wyoming,89.3,98.7,72.3,87.3,99.3,94.9,42.9015609,-109.2539886,WY